capacitance	pressure	temp	time
18.00112	34.37904352499612	1.3642664569415501	1630192298.4655876
18.00111	34.37902676072616	1.3647722117348167	1630192302.5446784
18.00112	34.37904352499612	1.3642664569415501	1630192306.605273
18.00110	34.37900999643557	1.3652779395415564	1630192310.797768
18.00108	34.37897646779237	1.3662893141663517	1630192314.9408243
18.00120	34.379177638411875	1.3602194467675872	1630192318.9877596
18.00113	34.37906028924533	1.3637606751508429	1630192323.012198
18.00113	34.37906028924533	1.3637606751508429	1630192327.054681
18.00109	34.37899323212429	1.3657836403508554	1630192331.057783
18.00115	34.379093817681934	1.3627490305771062	1630192335.1098866
18.00111	34.37902676072616	1.3647722117348167	1630192339.1622586
18.00105	34.37892617467267	1.36780617363911	1630192343.211869
18.00113	34.37906028924533	1.3637606751508429	1630192347.2922046
18.00118	34.37914411018184	1.3612313612757134	1630192351.3426483
18.00111	34.37902676072616	1.3647722117348167	1630192355.4137347
18.00117	34.37912734603589	1.3617372780390724	1630192359.4509132
18.00111	34.37902676072616	1.3647722117348167	1630192363.5074613
18.00116	34.37911058186924	1.3622431678086286	1630192367.5861807
18.00116	34.37911058186924	1.3622431678086286	1630192371.6263654
18.00116	34.37911058186924	1.3622431678086286	1630192375.6752708
18.00115	34.379093817681934	1.3627490305771062	1630192379.747885
18.00119	34.379160874307246	1.3607254175185517	1630192383.8009646
18.00114	34.379077053473964	1.3632548663626949	1630192387.8509622
18.00113	34.37906028924533	1.3637606751508429	1630192391.9088266
18.00115	34.379093817681934	1.3627490305771062	1630192395.9659967
18.00117	34.37912734603589	1.3617372780390724	1630192400.0063796
18.00117	34.37912734603589	1.3617372780390724	1630192404.0707736
18.00115	34.379093817681934	1.3627490305771062	1630192408.125271
18.00112	34.37904352499612	1.3642664569415501	1630192412.1637962
18.00115	34.379093817681934	1.3627490305771062	1630192416.2378013
18.00112	34.37904352499612	1.3642664569415501	1630192420.3108008
18.00113	34.37906028924533	1.3637606751508429	1630192424.3573096
18.00112	34.37904352499612	1.3642664569415501	1630192428.4469566
18.00118	34.37914411018184	1.3612313612757134	1630192432.5131762
18.00107	34.37895970343985	1.3667949609807692	1630192436.5573554
18.00114	34.379077053473964	1.3632548663626949	1630192440.6474624
18.00115	34.379093817681934	1.3627490305771062	1630192444.7238061
18.00115	34.379093817681934	1.3627490305771062	1630192448.7963111
18.00110	34.37900999643557	1.3652779395415564	1630192452.842638
18.00117	34.37912734603589	1.3617372780390724	1630192456.898798
18.00115	34.379093817681934	1.3627490305771062	1630192461.0163143
18.00111	34.37902676072616	1.3647722117348167	1630192465.072394
18.00120	34.379177638411875	1.3602194467675872	1630192469.1414876
18.00113	34.37906028924533	1.3637606751508429	1630192473.2114382
18.00118	34.37914411018184	1.3612313612757134	1630192477.2798789
18.00115	34.379093817681934	1.3627490305771062	1630192481.34747
18.00117	34.37912734603589	1.3617372780390724	1630192485.4077826
18.00117	34.37912734603589	1.3617372780390724	1630192489.517579
18.00123	34.37922793060193	1.3587013725555153	1630192493.6097934
18.00111	34.37902676072616	1.3647722117348167	1630192497.6738236
18.00114	34.379077053473964	1.3632548663626949	1630192501.736256
18.00105	34.37892617467267	1.36780617363911	1630192505.8281004
18.00113	34.37906028924533	1.3637606751508429	1630192509.8736732
18.00115	34.379093817681934	1.3627490305771062	1630192513.9737742
18.00115	34.379093817681934	1.3627490305771062	1630192518.05021
18.00111	34.37902676072616	1.3647722117348167	1630192523.1615064
18.00112	34.37904352499612	1.3642664569415501	1630192527.1961546
18.00111	34.37902676072616	1.3647722117348167	1630192531.2445889
18.00117	34.37912734603589	1.3617372780390724	1630192535.319215
18.00120	34.379177638411875	1.3602194467675872	1630192539.3744006
18.00115	34.379093817681934	1.3627490305771062	1630192544.5289247
18.00126	34.379278222606104	1.3571830554028566	1630192551.385407
18.00122	34.37921116655926	1.359207424287888	1630192555.463672
18.00115	34.379093817681934	1.3627490305771062	1630192559.5280976
18.00124	34.37924469462399	1.3581952938329778	1630192563.5447545
18.00117	34.37912734603589	1.3617372780390724	1630192567.6491623
18.00118	34.37914411018184	1.3612313612757134	1630192571.6674132
18.00118	34.37914411018184	1.3612313612757134	1630192575.7477663
18.00117	34.37912734603589	1.3617372780390724	1630192579.7994707
18.00122	34.37921116655926	1.359207424287888	1630192583.8423936
18.00112	34.37904352499612	1.3642664569415501	1630192587.9083862
18.00122	34.37921116655926	1.359207424287888	1630192592.008793
18.00117	34.37912734603589	1.3617372780390724	1630192596.0825999
18.00117	34.37912734603589	1.3617372780390724	1630192600.1563559
18.00116	34.37911058186924	1.3622431678086286	1630192604.1988387
18.00115	34.379093817681934	1.3627490305771062	1630192608.2187989
18.00123	34.37922793060193	1.3587013725555153	1630192612.2787225
18.00116	34.37911058186924	1.3622431678086286	1630192616.3374572
18.00125	34.379261458625336	1.3576891881202755	1630192620.4017832
18.00121	34.3791944024959	1.359713449026458	1630192624.449968
18.00116	34.37911058186924	1.3622431678086286	1630192628.5877583
18.00119	34.379160874307246	1.3607254175185517	1630192632.6388643
18.00116	34.37911058186924	1.3622431678086286	1630192636.6920955
18.00123	34.37922793060193	1.3587013725555153	1630192640.7395163
18.00127	34.37929498656615	1.3566768957025488	1630192644.781957
18.00117	34.37912734603589	1.3617372780390724	1630192648.837323
18.00120	34.379177638411875	1.3602194467675872	1630192652.8852687
18.00122	34.37921116655926	1.359207424287888	1630192656.9317765
18.00122	34.37921116655926	1.359207424287888	1630192660.9777846
18.00120	34.379177638411875	1.3602194467675872	1630192665.0300004
18.00118	34.37914411018184	1.3612313612757134	1630192669.0908396
18.00111	34.37902676072616	1.3647722117348167	1630192673.194176
18.00117	34.37912734603589	1.3617372780390724	1630192677.224375
18.00103	34.37889264582296	1.368817278311326	1630192681.3264077
18.00113	34.37906028924533	1.3637606751508429	1630192685.3754086
18.00122	34.37921116655926	1.359207424287888	1630192689.3998482
18.00113	34.37906028924533	1.3637606751508429	1630192695.3938296
18.00130	34.379345278322404	1.355158254638809	1630192699.4813359
18.00115	34.379093817681934	1.3627490305771062	1630192703.5736992
18.00113	34.37906028924533	1.3637606751508429	1630192707.6598697
18.00117	34.37912734603589	1.3617372780390724	1630192711.7085786
18.00114	34.379077053473964	1.3632548663626949	1630192718.799579
18.00118	34.37914411018184	1.3612313612757134	1630192722.8459952
18.00115	34.379093817681934	1.3627490305771062	1630192726.9173477
18.00117	34.37912734603589	1.3617372780390724	1630192731.014684
18.00118	34.37914411018184	1.3612313612757134	1630192735.0863068
18.00113	34.37906028924533	1.3637606751508429	1630192739.1063097
18.00107	34.37895970343985	1.3667949609807692	1630192743.1388035
capacitance	pressure	temp	time
18.00109	34.37899323212429	1.3657836403508554	1630192765.5012388
18.00114	34.379077053473964	1.3632548663626949	1630192769.630486
18.00109	34.37899323212429	1.3657836403508554	1630192773.7477803
18.00104	34.37890941025816	1.3683117394684814	1630192777.7699277
18.00109	34.37899323212429	1.3657836403508554	1630192782.7152867
18.00112	34.37904352499612	1.3642664569415501	1630192786.7558546
18.00107	34.37895970343985	1.3667949609807692	1630192790.8026643
18.00114	34.379077053473964	1.3632548663626949	1630192794.8437417
18.00109	34.37899323212429	1.3657836403508554	1630192798.9118435
18.00107	34.37895970343985	1.3667949609807692	1630192802.9799144
18.00105	34.37892617467267	1.36780617363911	1630192807.0437303
18.00106	34.37894293906655	1.36730058080866	1630192811.0623379
18.00104	34.37890941025816	1.3683117394684814	1630192815.1297228
18.00108	34.37897646779237	1.3662893141663517	1630192819.2267427
18.00105	34.37892617467267	1.36780617363911	1630192823.2720325
18.00105	34.37892617467267	1.36780617363911	1630192827.3420365
